date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:20	141774/141774	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2002:40:20%20GMT	https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/SignUp237d.html	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:21	233/233	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Apr%202022%2002:40:21%20GMT	https://accounts.google.com/TOS?loc=US&hl=en&privacy=true	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.1007dc.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:21	231/231	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Apr%202022%2002:40:21%20GMT	https://accounts.google.com/TOS?loc=US&hl=en	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.11c479.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:22	199/199	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	C:/My%20Web%20Sites/gfjhytgj/ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:23	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Apr%202022%2002:40:23%20GMT	https://accounts.google.com/POST	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/POST.13.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:24	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Apr%202022%2002:40:24%20GMT	https://accounts.google.com/GET	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/GET.14.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:25	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=US&hl=en&privacy=true	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.1507dc.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&hl=en)
19:40:25	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=US&hl=en	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.16c479.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&hl=en)
19:40:28	98576/98576	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2002:40:20%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&sacu=1&rip=1	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/ServiceLogin48a2.html	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/mykusd.net/oml/home&followup=https://sites.google.com/mykusd.net/oml/home)
19:40:28	379/379	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Apr%202022%2002:40:28%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&rip=1	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/AccountChooser.1782ac.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&sacu=1&rip=1)
19:40:28	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=US&hl=en&privacy=true	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.1807dc.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&sacu=1&rip=1)
19:40:28	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=US&hl=en	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/TOS.19c479.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome&sacu=1&rip=1)
19:40:30	30512/30512	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2002:40:29%20GMT	https://accounts.google.com/signup/v2/nojs?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome	C:/My%20Web%20Sites/gfjhytgj/accounts.google.com/signup/v2/nojs237d.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fmykusd.net%2Foml%2Fhome)
